ガラクタ	가라쿠타
Official髭男dism	오피셜 히게단디즘
和ぬか	와누카
WurtS	와츠
wacci	와치
米津玄師	요네즈 켄시
ヨルシカ	요루시카
ヨーメイ	요메이
YOASOBI	요아소비
YOAKE	요아케
Uru	우루
汐れいら	우시오 레이라
宇多田ヒカル	우타다 히카루
ONE OK ROCK	원 오크 록
UNISON SQUARE GARDEN	유니즌 스퀘어 가든
優里	유우리
悒うつぼ	유우우츠보
YUI	유이
『ユイカ』	『유이카』
由薫	유카
YUTORI-SEDAI	유토리 세다이
五十嵐ハル	이가라시 하루
imase	이마세
Eve	이브
ヰ世界情緒	이세계정서
いしだあゆみ	이시다 아유미
幾田りら	이쿠타 리라
indigo la End	인디고 라 엔드
弌誠	잇세이
ざらめ	자라메
ZAQ	자쿠
z²	제제
GEMN	젬
JUDY AND MARY	쥬디 앤 마리
逗子三兄弟	즈시삼형제
ちゃんみな	챤미나
チョーキューメイ	쵸큐메이
ツユ	츠유
月詠み	츠쿠요미
tuki.	츠키.
CHiCO	치코
chilldspot	칠드스팟
KANA-BOON	카나분
上北健	카미키타 켄
川崎鷹也	카와사키 타카야
花譜	카후
カンザキイオリ	칸자키 이오리
きゃない	캬나이
コレサワ	코레사와
Conton Candy	콘톤 캔디
桑田佳祐	쿠와타 케이스케
くじら	쿠지라
クリープハイプ	크리프하이프
Creepy Nuts	크리피 넛츠
きのこ帝国	키노코 테이코쿠
kiyu	키유
キタニタツヤ	키타니 타츠야
北谷琉喜	키타다니 류우키
鬼頭明里	키토 아카리
King Gnu	킹 누
Tani Yuuki	타니 유우키
玉置浩二	타마키 코지
tayori	타요리
高瀬統也	타카세 토야
高橋優	타카하시 유우
竹内まりや	타케우치 마리야
手嶌葵	테시마 아오이
10-FEET	텐피트
TENSONG	텐송
Tele	텔레
トゲナシトゲアリ	토게나시 토게아리
友成空	토모나리 소라
TOMOO	토모오
冨岡 愛	토미오카 아이
TOOBOE	토오보에
當山みれい	토우야마 미레이
とた	토타
Penthouse	펜트하우스
ポルノグラフィティ	포르노 그라피티
フレデリック	프레데릭
フリージアン	프리지안
flumpool	플럼풀
P丸様。	P마루사마。
PEOPLE 1	피플 원
ピラフ星人	필라프 성인
春茶	하루챠
浜野はるき	하마노 하루키
早見沙織	하야미 사오리
林原めぐみ	하야시바라 메구미
秦 基博	하타 모토히로
HoneyWorks	허니웍스
HoneyComeBear	허니컴베어
星野源	호시노 겐
舟津真翔	후나츠 마나토
藤井風	후지이 카제
福山雅治	후쿠야마 마사하루
平野綾	히라노 아야
平井 大	히라이 다이
平井 堅	히라이 켄
ヒバナ	히바나
羊文学	히츠지분가쿠
